condition,id,baseline_car1,update_car1
Sign Top,1,896,39198
Sign Bottom,2,21396,63511
Sign Bottom,3,21340,37460
Sign Bottom,4,23912,59136
Sign Bottom,5,16862,59292
Sign Top,6,147738,167895
Sign Bottom,7,18780,49811
Sign Top,8,41930,80323
Sign Top,9,28993,63707
Sign Bottom,10,78382,127817
Sign Top,11,58500,81081
Sign Bottom,12,99417,149211
Sign Bottom,13,93231,98047
Sign Bottom,14,83443,105094
Sign Bottom,15,22008,26486
Sign Bottom,16,27950,59514
Sign Bottom,17,67589,100475
Sign Bottom,18,32753,76724
Sign Top,19,33044,70775
Sign Bottom,20,104857,109961
Sign Bottom,21,121699,137849
Sign Top,22,16094,45489
Sign Top,23,78182,122739
Sign Bottom,24,21735,58693
Sign Top,25,47473,68971
Sign Bottom,26,121416,123661
Sign Bottom,27,4616,30597
Sign Bottom,28,13604,31750
Sign Bottom,29,125000,139801
Sign Top,30,40463,70095
Sign Top,31,34823,78262
Sign Top,32,120296,137162
Sign Top,33,79173,125933
Sign Bottom,34,110372,142100
Sign Bottom,35,3586,41419
Sign Top,36,26017,60347
Sign Top,37,149000,177873
Sign Top,38,15939,17025
Sign Bottom,39,23949,27990
Sign Bottom,40,119260,143890
Sign Top,41,31600,33172
Sign Top,42,80000,96440
Sign Bottom,43,119420,162182
Sign Bottom,44,91532,119830
Sign Bottom,45,120927,130538
Sign Top,46,116843,143167
Sign Bottom,47,53962,98112
Sign Top,48,67059,105702
Sign Top,49,117216,118351
Sign Top,50,43792,91238
Sign Bottom,51,13781,54459
Sign Top,52,42064,49235
Sign Bottom,53,145271,167129
Sign Top,54,58545,95608
Sign Top,55,26545,52377
Sign Top,56,50388,98369
Sign Top,57,108263,132557
Sign Top,58,40711,82311
Sign Top,59,105099,139843
Sign Top,60,37776,51717
Sign Bottom,61,189000,197565
Sign Top,62,144593,174019
Sign Top,63,94162,112348
Sign Top,64,78704,109065
Sign Bottom,65,59970,89440
Sign Bottom,66,86465,123221
Sign Top,67,15,5037
Sign Bottom,68,61791,94082
Sign Bottom,69,73000,90287
Sign Bottom,70,125683,163995
Sign Bottom,71,194677,198762
Sign Bottom,72,23929,30565
Sign Bottom,73,5551,12902
Sign Top,74,23,9378
Sign Top,75,140000,150928
Sign Top,76,45000,65534
Sign Bottom,77,14418,28096
Sign Top,78,15643,60317
Sign Bottom,79,73166,103756
Sign Top,80,62500,90815
Sign Bottom,81,42537,82832
Sign Bottom,82,49732,87637
Sign Top,83,4225,11848
Sign Top,84,68511,108435
Sign Bottom,85,121183,133548
Sign Top,86,108698,152103
Sign Top,87,29783,64198
Sign Top,88,96000,131817
Sign Top,89,24091,28451
Sign Bottom,90,55733,70102
Sign Top,91,127000,165152
Sign Top,92,130000,137606
Sign Top,93,75409,81093
Sign Top,94,39,35190
Sign Top,95,815,9489
Sign Bottom,96,61099,89389
Sign Bottom,97,101658,136696
Sign Top,98,140184,170694
Sign Bottom,99,36169,59997
Sign Bottom,100,41684,83436
Sign Top,101,65359,81621
Sign Top,102,167566,181690
Sign Bottom,103,276481,294755
Sign Bottom,104,5831,36253
Sign Bottom,105,186740,207838
Sign Top,106,25000,64152
Sign Top,107,87892,126909
Sign Bottom,108,69946,115257
Sign Bottom,109,56136,96505
Sign Top,110,50468,99285
Sign Top,111,601,6240
Sign Top,112,44668,67176
Sign Top,113,57316,76622
Sign Top,114,61424,97120
Sign Bottom,115,111069,155135
Sign Top,116,91258,103454
Sign Bottom,117,160251,166627
Sign Bottom,118,20500,36127
Sign Top,119,0,20345
Sign Bottom,120,271738,281573
Sign Top,121,11241,38298
Sign Bottom,122,43191,56235
Sign Bottom,123,16588,48888
Sign Bottom,124,54860,66734
Sign Bottom,125,209713,213965
Sign Top,126,96985,141240
Sign Top,127,73811,116476
Sign Top,128,94000,139018
Sign Top,129,59179,67495
Sign Top,130,0,19287
Sign Top,131,6830,8069
Sign Top,132,88737,103166
Sign Bottom,133,15883,53595
Sign Bottom,134,288120,297908
Sign Bottom,135,85430,102716
Sign Bottom,136,79651,115410
Sign Bottom,137,94055,111152
Sign Top,138,87122,106098
Sign Top,139,88030,137644
Sign Top,140,106250,121128
Sign Bottom,141,85754,94842
Sign Bottom,142,177719,212591
Sign Bottom,143,49013,68209
Sign Top,144,88658,99301
Sign Bottom,145,27229,34091
Sign Bottom,146,51767,89619
Sign Bottom,147,37638,70445
Sign Top,148,23701,55902
Sign Bottom,149,56800,65906
Sign Top,150,396,38222
Sign Bottom,151,398,18161
